brt  | 2025-05-10T13:17:44.976Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.ReportConsumer           : Received message: 
brt  | call_type, caller_msisdn, receiver_msisdn, start_time, end_time
brt  | 01, 79991112244, 79995556688, 2025-04-30T00:00:00, 2025-04-30T00:11:00
brt  | 02, 79995556688, 79991112244, 2025-04-30T00:00:00, 2025-04-30T00:11:00
brt  | 01, 79906667799, 79991112244, 2025-04-30T00:41:00, 2025-04-30T01:24:00
brt  | 02, 79991112244, 79906667799, 2025-04-30T00:41:00, 2025-04-30T01:24:00
brt  | 01, 79901113366, 79992223355, 2025-04-30T01:16:00, 2025-04-30T02:10:00
brt  | 02, 79992223355, 79901113366, 2025-04-30T01:16:00, 2025-04-30T02:10:00
brt  | 01, 79993335577, 79992223355, 2025-04-30T02:03:00, 2025-04-30T02:50:00
brt  | 02, 79992223355, 79993335577, 2025-04-30T02:03:00, 2025-04-30T02:50:00
brt  | 01, 79905557700, 79996668800, 2025-04-30T02:58:00, 2025-04-30T03:04:00
brt  | 02, 79996668800, 79905557700, 2025-04-30T02:58:00, 2025-04-30T03:04:00
brt  | 
brt  | 2025-05-10T13:17:44.977Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "01, 79991112244, 79995556688, 2025-04-30T00:00:00, 2025-04-30T00:11:00"
brt  | 2025-05-10T13:17:45.106Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=10, userName=Андреева София Владимировна, tariffId=12, msisdn=79991112244, balance=275.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@2c7b5d1d)
brt  | 2025-05-10T13:17:45.112Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got receiverRecord: User(userId=14, userName=Федоров Федор Федорович, tariffId=12, msisdn=79995556688, balance=525.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@2e249f2d)
brt  | 2025-05-10T13:17:45.112Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created caller: Subscriber[id=10, msisdn=79991112244, isServiced=true, tariffId=12, minutes=50, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.116Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Created receiver: Subscriber[id=14, msisdn=79995556688, isServiced=true, tariffId=12, minutes=50, paymentDay=2024-05-13]
brt  | 2025-05-10T13:17:45.116Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Sent request: CalculationRequest[callType=01, caller=Subscriber[id=10, msisdn=79991112244, isServiced=true, tariffId=12, minutes=50, paymentDay=2024-05-13], receiver=Subscriber[id=14, msisdn=79995556688, isServiced=true, tariffId=12, minutes=50, paymentDay=2024-05-13], durationMinutes=11, currentDate=2025-04-30]
brt  | 2025-05-10T13:17:45.533Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Received response: CalculationResponse[cost=100.0, tariffType=00, description=Default description, remainingMinutes=39, nextPaymentDate=2024-06-12]
brt  | 2025-05-10T13:17:45.569Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.BillingService           : User information updated: User(userId=10, userName=Андреева София Владимировна, tariffId=12, msisdn=79991112244, balance=175.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@2c7b5d1d)
brt  | 
brt  | 2025-05-10T13:17:45.581Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Saved fragment: Fragment(callType=01, callerMsisdn=79991112244, receiverMsisdn=79995556688, startTime=2025-04-30T00:00, endTime=2025-04-30T00:11)
brt  | Response: CalculationResponse[cost=100.0, tariffType=00, description=Default description, remainingMinutes=39, nextPaymentDate=2024-06-12]
brt  | 2025-05-10T13:17:45.581Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Trying to handle message "02, 79995556688, 79991112244, 2025-04-30T00:00:00, 2025-04-30T00:11:00"
brt  | 2025-05-10T13:17:45.585Z  INFO 1 --- [ntContainer#0-1] rom.brt.service.MessageHandler           : Got callerRecord: User(userId=14, userName=Федоров Федор Федорович, tariffId=12, msisdn=79995556688, balance=525.00, registrationDate=2024-04-14T19:59:20, userParams=rom.brt.entity.UserParams@1dff30e2)
