call_id,call_type,caller_msisdn,receiver_msisdn,start_time,end_time,duration_minutes,cost,created_at
1,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
2,01,79996668800,79992223355,2025-04-30 00:00:00,2025-04-30 00:23:00,23,100.0,
3,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
4,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
5,01,79995557799,79905557700,2025-04-30 00:58:00,2025-04-30 01:04:00,6,0.0,
6,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,100.0,
7,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
8,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
9,01,79996668800,79992223355,2025-04-30 00:00:00,2025-04-30 00:23:00,23,100.0,
10,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
11,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
12,01,79995557799,79905557700,2025-04-30 00:58:00,2025-04-30 01:04:00,6,0.0,
13,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,163.0,
14,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
15,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
16,01,79996668800,79992223355,2025-04-30 00:00:00,2025-04-30 00:23:00,23,134.5,
17,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
18,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
19,01,79995557799,79905557700,2025-04-30 00:58:00,2025-04-30 01:04:00,6,0.0,
20,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,163.0,
21,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
22,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
23,01,79996668800,79992223355,2025-04-30 00:00:00,2025-04-30 00:23:00,23,134.5,
24,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
25,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
26,01,79995557799,79905557700,2025-04-30 00:58:00,2025-04-30 01:04:00,6,0.0,
27,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,163.0,
28,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
