call_type, caller_msisdn, receiver_msisdn, start_time, end_time
02, 79992224466, 79903335588, 2025-04-30T00:00:00, 2025-04-30T00:49:00
01, 79903335588, 79992224466, 2025-04-30T00:00:00, 2025-04-30T00:49:00
02, 79902224477, 79904446699, 2025-04-29T23:08:00, 2025-04-29T23:09:00
01, 79904446699, 79902224477, 2025-04-29T23:08:00, 2025-04-29T23:09:00
02, 79997779911, 79992223355, 2025-04-29T23:09:00, 2025-04-29T23:53:00
01, 79992223355, 79997779911, 2025-04-29T23:09:00, 2025-04-29T23:53:00
01, 79994446688, 79904446699, 2025-04-29T22:50:00, 2025-04-29T23:12:00
02, 79904446699, 79994446688, 2025-04-29T22:50:00, 2025-04-29T23:12:00
02, 79995557799, 79997779911, 2025-04-29T23:45:00, 2025-04-30T00:07:00
01, 79997779911, 79995557799, 2025-04-29T23:45:00, 2025-04-30T00:07:00
