call_id,call_type,caller_msisdn,receiver_msisdn,start_time,end_time,duration_minutes,cost,created_at
2,01,79996668800,79992223355,2025-04-30 00:00:00,2025-04-30 00:23:00,23,100.0,
9,01,79996668800,79992223355,2025-04-30 00:00:00,2025-04-30 00:23:00,23,100.0,
16,01,79996668800,79992223355,2025-04-30 00:00:00,2025-04-30 00:23:00,23,134.5,
23,01,79996668800,79992223355,2025-04-30 00:00:00,2025-04-30 00:23:00,23,134.5,
29,01,79990001133,79906668811,2025-04-30 00:00:00,2025-04-30 00:26:00,26,0.0,
33,01,79990001133,79906668811,2025-04-30 00:00:00,2025-04-30 00:26:00,26,65.0,
38,01,79997779911,79908880033,2025-04-30 02:47:00,2025-04-30 02:56:00,9,0.0,
40,01,79997779911,79908880033,2025-04-30 02:47:00,2025-04-30 02:56:00,9,0.0,
44,01,79990001133,79991112244,2025-04-30 03:10:00,2025-04-30 06:04:00,174,261.0,
46,01,79998880022,79903335588,2025-04-30 00:00:00,2025-04-30 00:09:00,9,100.0,
47,01,79998880022,79903335588,2025-04-30 00:00:00,2025-04-30 00:09:00,9,100.0,
48,01,79997779911,79995556688,2025-04-30 00:21:00,2025-04-30 00:59:00,38,57.0,
49,01,79997779911,79995556688,2025-04-30 00:21:00,2025-04-30 00:59:00,38,57.0,
52,02,79991113355,79994445577,2025-04-30 01:18:00,2025-04-30 02:14:00,56,0.0,
53,02,79991113355,79994445577,2025-04-30 01:18:00,2025-04-30 02:14:00,56,0.0,
56,01,79998880022,79994446688,2025-04-30 01:24:00,2025-04-30 01:46:00,22,100.0,
58,01,79998880022,79904446699,2025-04-30 01:24:00,2025-04-30 01:48:00,24,160.0,
66,01,79990001133,79902224477,2025-04-29 23:05:00,2025-04-29 23:22:00,17,0.0,
67,01,79991113355,79997779911,2025-04-29 23:35:00,2025-04-30 00:21:00,46,0.0,
68,02,79997779911,79991113355,2025-04-29 23:35:00,2025-04-30 00:21:00,46,0.0,
69,02,79996668800,79998880022,2025-04-29 23:30:00,2025-04-29 23:44:00,14,100.0,
70,01,79998880022,79996668800,2025-04-29 23:30:00,2025-04-29 23:44:00,14,121.0,
