call_id,call_type,caller_msisdn,receiver_msisdn,start_time,end_time,duration_minutes,cost,created_at
3,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
10,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
17,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
24,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
31,01,79995556688,79908880033,2025-04-30 02:18:00,2025-04-30 02:57:00,39,100.0,
32,01,79993335577,79901113366,2025-04-30 03:21:00,2025-04-30 03:52:00,31,77.5,
35,01,79995556688,79908880033,2025-04-30 02:18:00,2025-04-30 02:57:00,39,197.5,
36,01,79993335577,79901113366,2025-04-30 03:21:00,2025-04-30 03:52:00,31,77.5,
37,01,79993335577,79908889911,2025-04-30 00:56:00,2025-04-30 00:59:00,3,0.0,
39,01,79993335577,79908889911,2025-04-30 00:56:00,2025-04-30 00:59:00,3,0.0,
45,01,79994445577,79905557700,2025-04-30 03:47:00,2025-04-30 04:43:00,56,140.0,
50,02,79995556688,79997779911,2025-04-30 00:21:00,2025-04-30 00:59:00,38,100.0,
51,02,79995556688,79997779911,2025-04-30 00:21:00,2025-04-30 00:59:00,38,100.0,
60,02,79994445577,79993334466,2025-04-30 00:00:00,2025-04-30 00:43:00,43,0.0,
61,01,79994445577,79993334466,2025-04-30 00:00:00,2025-04-30 00:43:00,43,64.5,
62,02,79993335577,79994445577,2025-04-30 00:25:00,2025-04-30 01:10:00,45,0.0,
63,01,79993335577,79994445577,2025-04-30 00:25:00,2025-04-30 01:10:00,45,67.5,
64,01,79995556688,79992224466,2025-04-30 00:30:00,2025-04-30 00:56:00,26,139.0,
65,02,79995556688,79992224466,2025-04-30 00:30:00,2025-04-30 00:56:00,26,100.0,
