call_id,call_type,caller_msisdn,receiver_msisdn,start_time,end_time,duration_minutes,cost,created_at
31,01,79995556688,79908880033,2025-04-30 02:18:00,2025-04-30 02:57:00,39,100.0,
35,01,79995556688,79908880033,2025-04-30 02:18:00,2025-04-30 02:57:00,39,197.5,
38,01,79997779911,79908880033,2025-04-30 02:47:00,2025-04-30 02:56:00,9,0.0,
40,01,79997779911,79908880033,2025-04-30 02:47:00,2025-04-30 02:56:00,9,0.0,
46,01,79998880022,79903335588,2025-04-30 00:00:00,2025-04-30 00:09:00,9,100.0,
47,01,79998880022,79903335588,2025-04-30 00:00:00,2025-04-30 00:09:00,9,100.0,
48,01,79997779911,79995556688,2025-04-30 00:21:00,2025-04-30 00:59:00,38,57.0,
49,01,79997779911,79995556688,2025-04-30 00:21:00,2025-04-30 00:59:00,38,57.0,
50,02,79995556688,79997779911,2025-04-30 00:21:00,2025-04-30 00:59:00,38,100.0,
51,02,79995556688,79997779911,2025-04-30 00:21:00,2025-04-30 00:59:00,38,100.0,
52,02,79991113355,79994445577,2025-04-30 01:18:00,2025-04-30 02:14:00,56,0.0,
53,02,79991113355,79994445577,2025-04-30 01:18:00,2025-04-30 02:14:00,56,0.0,
