call_type, caller_msisdn, receiver_msisdn, start_time, end_time
02, 79904446699, 79906667799, 2025-04-30T00:00:00, 2025-04-30T00:31:00
01, 79906667799, 79904446699, 2025-04-30T00:00:00, 2025-04-30T00:31:00
02, 79994446688, 79907779922, 2025-04-30T00:53:00, 2025-04-30T01:05:00
01, 79907779922, 79994446688, 2025-04-30T00:53:00, 2025-04-30T01:05:00
02, 79993335577, 79901113366, 2025-04-30T01:42:00, 2025-04-30T02:26:00
01, 79901113366, 79993335577, 2025-04-30T01:42:00, 2025-04-30T02:26:00
01, 79993335577, 79995556688, 2025-04-30T01:42:00, 2025-04-30T02:02:00
02, 79995556688, 79993335577, 2025-04-30T01:42:00, 2025-04-30T02:02:00
01, 79992224466, 79901113366, 2025-04-30T01:42:00, 2025-04-30T02:36:00
02, 79901113366, 79992224466, 2025-04-30T01:42:00, 2025-04-30T02:36:00
