call_id,call_type,caller_msisdn,receiver_msisdn,start_time,end_time,duration_minutes,cost,created_at
1,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
4,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
6,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,100.0,
7,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
8,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
11,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
13,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,163.0,
14,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
15,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
18,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
20,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,163.0,
21,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
26,01,79998880022,79996668800,2025-04-29 23:30:00,2025-04-29 23:44:00,14,100.0,
33,01,79998880022,79903335588,2025-04-30 00:00:00,2025-04-30 00:09:00,9,100.0,
34,01,79998880022,79903335588,2025-04-30 00:00:00,2025-04-30 00:09:00,9,100.0,
41,01,79992224466,79906667799,2025-04-30 00:00:00,2025-04-30 00:01:00,1,100.0,
42,02,79991112244,79908880033,2025-04-30 00:27:00,2025-04-30 00:44:00,17,100.0,
43,01,79998880022,79994446688,2025-04-30 01:24:00,2025-04-30 01:46:00,22,133.0,
44,02,79994446688,79998880022,2025-04-30 01:24:00,2025-04-30 01:46:00,22,100.0,
45,01,79998880022,79904446699,2025-04-30 01:24:00,2025-04-30 01:48:00,24,160.0,
46,01,79992223355,79900001144,2025-04-30 01:24:00,2025-04-30 02:14:00,50,125.0,
