call_type, caller_msisdn, receiver_msisdn, start_time, end_time
02, 79996668800, 79990001133, 2025-04-30T00:00:00, 2025-04-30T00:22:00
01, 79990001133, 79996668800, 2025-04-30T00:00:00, 2025-04-30T00:22:00
01, 79996668800, 79994446688, 2025-04-30T00:44:00, 2025-04-30T01:02:00
02, 79994446688, 79996668800, 2025-04-30T00:44:00, 2025-04-30T01:02:00
01, 79906668811, 79991112244, 2025-04-30T01:36:00, 2025-04-30T01:58:00
02, 79991112244, 79906668811, 2025-04-30T01:36:00, 2025-04-30T01:58:00
02, 79991113355, 79992223355, 2025-04-30T01:58:00, 2025-04-30T01:58:00
01, 79992223355, 79991113355, 2025-04-30T01:58:00, 2025-04-30T01:58:00
01, 79996668800, 79993335577, 2025-04-30T02:30:00, 2025-04-30T02:44:00
02, 79993335577, 79996668800, 2025-04-30T02:30:00, 2025-04-30T02:44:00
