call_id,call_type,caller_msisdn,receiver_msisdn,start_time,end_time,duration_minutes,cost,created_at
3,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
5,01,79995557799,79905557700,2025-04-30 00:58:00,2025-04-30 01:04:00,6,0.0,
10,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
12,01,79995557799,79905557700,2025-04-30 00:58:00,2025-04-30 01:04:00,6,0.0,
17,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
19,01,79995557799,79905557700,2025-04-30 00:58:00,2025-04-30 01:04:00,6,0.0,
24,02,79993335577,79906668811,2025-04-30 00:10:00,2025-04-30 00:15:00,5,0.0,
26,01,79995557799,79905557700,2025-04-30 00:58:00,2025-04-30 01:04:00,6,0.0,
29,01,79990001133,79906668811,2025-04-30 00:00:00,2025-04-30 00:26:00,26,0.0,
30,02,79992224466,79909990022,2025-04-30 01:36:00,2025-04-30 02:08:00,32,100.0,
31,01,79995556688,79908880033,2025-04-30 02:18:00,2025-04-30 02:57:00,39,100.0,
32,01,79993335577,79901113366,2025-04-30 03:21:00,2025-04-30 03:52:00,31,77.5,
33,01,79990001133,79906668811,2025-04-30 00:00:00,2025-04-30 00:26:00,26,65.0,
34,02,79992224466,79909990022,2025-04-30 01:36:00,2025-04-30 02:08:00,32,100.0,
35,01,79995556688,79908880033,2025-04-30 02:18:00,2025-04-30 02:57:00,39,197.5,
36,01,79993335577,79901113366,2025-04-30 03:21:00,2025-04-30 03:52:00,31,77.5,
