call_id,call_type,caller_msisdn,receiver_msisdn,start_time,end_time,duration_minutes,cost,created_at
1,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
4,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
6,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,100.0,
7,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
8,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
11,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
13,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,163.0,
14,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
15,02,79992223355,79996668800,2025-04-30 00:00:00,2025-04-30 00:23:00,23,0.0,
18,02,79992223355,79907778800,2025-04-30 00:56:00,2025-04-30 01:02:00,6,0.0,
20,01,79994446688,79992223355,2025-04-30 01:07:00,2025-04-30 01:49:00,42,163.0,
21,02,79992223355,79994446688,2025-04-30 01:07:00,2025-04-30 01:49:00,42,0.0,
22,01,79990001133,79902224477,2025-04-29 23:05:00,2025-04-29 23:22:00,17,0.0,
27,02,79994445577,79993334466,2025-04-30 00:00:00,2025-04-30 00:43:00,43,0.0,
28,01,79994445577,79993334466,2025-04-30 00:00:00,2025-04-30 00:43:00,43,64.5,
42,02,79991112244,79908880033,2025-04-30 00:27:00,2025-04-30 00:44:00,17,100.0,
44,02,79994446688,79998880022,2025-04-30 01:24:00,2025-04-30 01:46:00,22,100.0,
46,01,79992223355,79900001144,2025-04-30 01:24:00,2025-04-30 02:14:00,50,125.0,
47,01,79990001133,79906668811,2025-04-30 00:00:00,2025-04-30 00:26:00,26,0.0,
51,01,79994446688,79904446699,2025-04-30 01:30:00,2025-04-30 01:50:00,20,150.0,
52,01,79992223355,79903335588,2025-04-30 03:10:00,2025-04-30 03:12:00,2,0.0,
53,02,79991112244,79990001133,2025-04-30 03:10:00,2025-04-30 06:04:00,174,100.0,
54,01,79990001133,79991112244,2025-04-30 03:10:00,2025-04-30 06:04:00,174,261.0,
55,01,79994445577,79905557700,2025-04-30 03:47:00,2025-04-30 04:43:00,56,140.0,
