call_type, caller_msisdn, receiver_msisdn, start_time, end_time
03, 79998880022, 79908889911, 2025-04-30T00:00:00, 2025-04-30T00:43:00
01, 79908889911, 79998880022, 2025-04-30T00:00:00, 2025-04-30T00:43:00
03, 79997779911, 79904446699, 2025-04-30T00:21:00, 2025-04-30T01:02:00
01, 79904446699, 79997779911, 2025-04-30T00:21:00, 2025-04-30T01:02:00
01, 79902224477, 79995556688, 2025-04-30T00:30:00, 2025-04-30T01:04:00
02, 79995556688, 79902224477, 2025-04-30T00:30:00, 2025-04-30T01:04:00
02, 79998880022, 79909991144, 2025-04-30T01:20:00, 2025-04-30T02:11:00
01, 79909991144, 79998880022, 2025-04-30T01:20:00, 2025-04-30T02:11:00
02, 79995557799, 79990001133, 2025-04-30T01:21:00, 2025-04-30T02:08:00
01, 79990001133, 79995557799, 2025-04-30T01:21:00, 2025-04-30T02:08:00
