call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 79902224477, 79905557700, 2025-04-29T23:42:00, 2025-04-30T00:08:00
02, 79905557700, 79902224477, 2025-04-29T23:42:00, 2025-04-30T00:08:00
02, 79995556688, 79998880022, 2025-04-30T00:28:00, 2025-04-30T01:15:00
01, 79998880022, 79995556688, 2025-04-30T00:28:00, 2025-04-30T01:15:00
02, 79904446699, 79994445577, 2025-04-30T00:18:00, 2025-04-30T00:53:00
01, 79994445577, 79904446699, 2025-04-30T00:18:00, 2025-04-30T00:53:00
02, 79908880033, 79908889911, 2025-04-30T00:39:00, 2025-04-30T00:50:00
01, 79908889911, 79908880033, 2025-04-30T00:39:00, 2025-04-30T00:50:00
02, 79909990022, 79902224477, 2025-04-29T23:52:00, 2025-04-29T23:59:00
01, 79902224477, 79909990022, 2025-04-29T23:52:00, 2025-04-29T23:59:00
