call_type, caller_msisdn, receiver_msisdn, start_time, end_time
02, 79900001144, 79992224466, 2025-04-30T05:39:00, 2025-04-30T05:46:00
02, 79900001144, 79992224466, 2025-04-30T05:39:00, 2025-04-30T05:46:00
01, 79992224466, 79900001144, 2025-04-30T05:39:00, 2025-04-30T05:46:00
01, 79992224466, 79900001144, 2025-04-30T05:39:00, 2025-04-30T05:46:00
02, 79907778800, 79992223355, 2025-04-30T06:33:00, 2025-04-30T07:03:00
02, 79907778800, 79992223355, 2025-04-30T06:33:00, 2025-04-30T07:03:00
01, 79992223355, 79907778800, 2025-04-30T06:33:00, 2025-04-30T07:03:00
01, 79992223355, 79907778800, 2025-04-30T06:33:00, 2025-04-30T07:03:00
01, 79998880022, 79993334466, 2025-04-30T06:47:00, 2025-04-30T07:02:00
01, 79998880022, 79993334466, 2025-04-30T06:47:00, 2025-04-30T07:02:00
