call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 79908889911, 79906667799, 2025-04-30T07:58:00, 2025-04-30T08:07:00
02, 79906667799, 79908889911, 2025-04-30T07:58:00, 2025-04-30T08:07:00
02, 79908880033, 79996668800, 2025-04-30T08:38:00, 2025-04-30T09:20:00
01, 79996668800, 79908880033, 2025-04-30T08:38:00, 2025-04-30T09:20:00
02, 79995556688, 79904446699, 2025-04-30T08:57:00, 2025-04-30T09:13:00
01, 79904446699, 79995556688, 2025-04-30T08:57:00, 2025-04-30T09:13:00
01, 79995556688, 79995557799, 2025-04-30T08:57:00, 2025-04-30T09:49:00
02, 79995557799, 79995556688, 2025-04-30T08:57:00, 2025-04-30T09:49:00
02, 79992224466, 79995557799, 2025-04-30T08:57:00, 2025-04-30T09:52:00
01, 79995557799, 79992224466, 2025-04-30T08:57:00, 2025-04-30T09:52:00
