call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 79992224466, 79995557799, 2025-04-30T23:08:00, 2025-04-30T23:26:00
02, 79995557799, 79992224466, 2025-04-30T23:08:00, 2025-04-30T23:26:00
02, 79997779911, 79993335577, 2025-05-01T00:05:00, 2025-05-01T00:27:00
01, 79993335577, 79997779911, 2025-05-01T00:05:00, 2025-05-01T00:27:00
01, 79992223355, 79995557799, 2025-05-01T00:44:00, 2025-05-01T01:22:00
02, 79995557799, 79992223355, 2025-05-01T00:44:00, 2025-05-01T01:22:00
02, 79905557700, 79997779911, 2025-05-01T01:22:00, 2025-05-01T01:22:00
01, 79997779911, 79905557700, 2025-05-01T01:22:00, 2025-05-01T01:22:00
02, 79991112244, 79901113366, 2025-05-01T01:30:00, 2025-05-01T01:59:00
01, 79901113366, 79991112244, 2025-05-01T01:30:00, 2025-05-01T01:59:00
