call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 79991112244, 79900001144, 2025-05-01T04:20:00, 2025-05-01T05:13:00
02, 79900001144, 79991112244, 2025-05-01T04:20:00, 2025-05-01T05:13:00
02, 79991113355, 79997779911, 2025-05-01T04:49:00, 2025-05-01T05:01:00
01, 79997779911, 79991113355, 2025-05-01T04:49:00, 2025-05-01T05:01:00
01, 79908880033, 79992223355, 2025-05-01T05:42:00, 2025-05-01T06:02:00
02, 79992223355, 79908880033, 2025-05-01T05:42:00, 2025-05-01T06:02:00
02, 79902224477, 79909991144, 2025-05-01T05:42:00, 2025-05-01T07:12:00
01, 79909991144, 79902224477, 2025-05-01T05:42:00, 2025-05-01T07:12:00
02, 79908889911, 79908880033, 2025-05-01T06:33:00, 2025-05-01T07:07:00
01, 79908880033, 79908889911, 2025-05-01T06:33:00, 2025-05-01T07:07:00
