call_type, caller_msisdn, receiver_msisdn, start_time, end_time
03, 79992224466, 79908880033, 2025-04-30T04:19:00, 2025-04-30T04:41:00
01, 79908880033, 79992224466, 2025-04-30T04:19:00, 2025-04-30T04:41:00
01, 79994445577, 79905557700, 2025-04-30T04:26:00, 2025-04-30T05:16:00
02, 79905557700, 79994445577, 2025-04-30T04:26:00, 2025-04-30T05:16:00
03, 79901113366, 79994445577, 2025-04-30T04:58:00, 2025-04-30T05:50:00
01, 79994445577, 79901113366, 2025-04-30T04:58:00, 2025-04-30T05:50:00
01, 79906667799, 79906668811, 2025-04-30T05:06:00, 2025-04-30T05:38:00
02, 79906668811, 79906667799, 2025-04-30T05:06:00, 2025-04-30T05:38:00
02, 79902224477, 79909990022, 2025-04-30T05:20:00, 2025-04-30T05:49:00
01, 79909990022, 79902224477, 2025-04-30T05:20:00, 2025-04-30T05:49:00
