call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 755867148751, 704940719404, 2025-04-30T02:09:00, 2025-04-30T02:53:00
02, 704940719404, 755867148751, 2025-04-30T02:09:00, 2025-04-30T02:53:00
02, 745114943347, 751550640361, 2025-04-30T02:41:00, 2025-04-30T02:44:00
01, 751550640361, 745114943347, 2025-04-30T02:41:00, 2025-04-30T02:44:00
01, 744142482715, 798164144657, 2025-04-30T03:40:00, 2025-04-30T04:04:00
02, 798164144657, 744142482715, 2025-04-30T03:40:00, 2025-04-30T04:04:00
01, 773563061718, 717753442049, 2025-04-30T03:50:00, 2025-04-30T04:13:00
02, 717753442049, 773563061718, 2025-04-30T03:50:00, 2025-04-30T04:13:00
01, 723323614186, 777283414877, 2025-04-30T04:23:00, 2025-04-30T04:55:00
02, 777283414877, 723323614186, 2025-04-30T04:23:00, 2025-04-30T04:55:00
