call_type, caller_msisdn, receiver_msisdn, start_time, end_time
01, 79993334466, 79906667799, 2025-04-30T06:30:00, 2025-04-30T07:23:00
02, 79906667799, 79993334466, 2025-04-30T06:30:00, 2025-04-30T07:23:00
01, 79993335577, 79908880033, 2025-04-30T06:56:00, 2025-04-30T06:57:00
02, 79908880033, 79993335577, 2025-04-30T06:56:00, 2025-04-30T06:57:00
02, 79904446699, 79993334466, 2025-04-30T07:35:00, 2025-04-30T08:08:00
01, 79993334466, 79904446699, 2025-04-30T07:35:00, 2025-04-30T08:08:00
01, 79995557799, 79993335577, 2025-04-30T08:17:00, 2025-04-30T09:06:00
02, 79993335577, 79995557799, 2025-04-30T08:17:00, 2025-04-30T09:06:00
01, 79997779911, 79995556688, 2025-04-30T08:36:00, 2025-04-30T08:50:00
02, 79995556688, 79997779911, 2025-04-30T08:36:00, 2025-04-30T08:50:00
